post_id	date	message	num_likes	num_angry	num_shares
904277726319518_1684979824972538	2019-10-28T23:00:40+0000	"fernando haddad entrevista preta ferreira, produtora cultural e ativista do movimento sem teto do centro, e carmen silva, fundadora do movimento sem teto do centro."	3000	8	532
904277726319518_2606606279419979	2019-10-27T12:37:38+0000	""	6239	6	1129
904277726319518_2606466012767339	2019-10-27T11:27:13+0000	"#parabenslula que muito brevemente voce reencontre seu povo!"	17233	20	367
904277726319518_2604230622990878	2019-10-26T10:52:37+0000	"minha coluna da semana sobre o papel do stf e as ameacas veladas ou nao que vem sofrendo."	1545	9	175
904277726319518_2601016843312256	2019-10-24T20:51:15+0000	"fernando haddad entrevista carmen silva e preta ferreira, do movimento dos sem-teto do centro de sao paulo. segunda-feira, na alltv e nas redes sociais, as 20 horas."	1956	3	131
904277726319518_2598018730278734	2019-10-23T11:14:42+0000	"entrevista que dei para uol/folha: \"ciro e doria terao dificuldades em 2022 de se descolar daquilo que ajudaram a construir. voce nao consegue ter identidade. as pessoas comecam a nao ter seguranca no que voce, de fato, representa\"."	2081	10	547
904277726319518_2596763903737550	2019-10-22T20:00:50+0000	"uma carta aberta redigida por tres ex-presidentes de cortes superiores de justica europeias pede aos colegas do stf brasileiro que reflitam sobre \"os vicios dos processos iniciados contra lula. justica brasileira nao tera credibilidade com lula preso\"."	4352	9	1090
904277726319518_2144775529158964	2019-10-21T23:00:15+0000	"fernando haddad entrevista a antropologa e historiadora lilia moritz schwarcz."	4498	9	1488
904277726319518_2589677814446159	2019-10-19T13:33:22+0000	"nao se perca: 1)bolsonaro extinguiu comites do plano de acao de incidentes com oleo 2)bolsonaro tentou comprar deputados, diz lider do psl 3)justica deixa prescrever processo contra edir macedo pronto para julgamento 4) \"juiz\" moro ordenou busca e apreensao sem provocacao do mp"	7406	1050	1413
904277726319518_2589554634458477	2019-10-19T12:18:15+0000	"minha coluna da semana sobre o sus, a estrategia saude da familia e o mais medicos. tres grandes conquistas em risco."	1441	8	215
904277726319518_2588117911268816	2019-10-18T18:58:14+0000	"encontrei com a turma do sem terrinhas na vigilia lula livre. lula recebeu hoje os advogados e a visita dessa criancada que, com certeza, revigorou o ex-presidente.   eu fico com a resposta da pureza das criancas.  fotos: claudio kbene"	8035	18	592
904277726319518_1102027703336820	2019-10-18T17:43:15+0000	""	5274	34	866
904277726319518_2581943135219627	2019-10-15T20:27:20+0000	"feliz dia do professor!"	21409	15	5426
904277726319518_2581427951937812	2019-10-15T14:49:09+0000	"os professores do brasil nao fogem a luta.  \"se a educacao sozinha nao transforma a sociedade, sem ela tampouco a sociedade muda\", paulo freire.   #diadoprofessor #valorizeoprofessor arte sobre foto: gladson targa"	18474	6	1872
904277726319518_2581159065298034	2019-10-15T12:05:35+0000	"hoje, um agradecimento especial as professoras que tornam o sonho da inclusao e da convivencia entre diferentes uma realidade aprovada por todos. orgulho de ter feito parte dessa historia!"	1288	0	164
904277726319518_398898817455763	2019-10-14T23:00:06+0000	"fernando haddad entrevista o humorista gregorio duvivier."	4654	13	1173
904277726319518_2578288925585048	2019-10-14T00:36:58+0000	"e nesta segunda, as 20h30, no canal mynews."	4185	5	262
904277726319518_2575198442560763	2019-10-12T13:06:28+0000	"na proxima segunda, entrevisto o humorista, ator e roteirista gregorio duvivier. acompanhe na alltv e nas nossas redes sociais as 20h."	10453	12	474
904277726319518_2575088749238399	2019-10-12T12:00:08+0000	"minha coluna da semana trata da completa ausencia de formuladores de politica na equipe economica de guedes."	1045	3	90
904277726319518_2573723706041570	2019-10-11T18:05:56+0000	"ato justica para lula. e neste domingo, as 14h, na av. paulista. #lulalivre"	4181	17	1065
904277726319518_2573723479374926	2019-10-11T18:05:48+0000	"ato justica para lula.  e neste domingo, as 14h, na av. paulista. #lulalivre"	3912	16	765
904277726319518_2568484353232172	2019-10-08T23:00:06+0000	"segunda parte da entrevista com manuela d'avila."	2760	13	601
904277726319518_2568274006586540	2019-10-08T20:07:54+0000	"espero que a cpmi das fakenews esclareca definitivamente os fatos e puna os responsaveis. sera que moro vai ajudar? acho que sim, so nao sei quem!"	4804	341	1168
904277726319518_2567486246665316	2019-10-08T11:33:50+0000	"bolsonaro precisa alimentar a hipotese de que a facada teve um mandante para afastar a tese de que so a loucura explica sua ascensao ao poder."	9173	28	613
904277726319518_2566597636754177	2019-10-07T23:01:54+0000	"segunda parte da entrevista com manuela d'avila.   https://youtu.be/nifyjt7vev4"	1268	4	110
904277726319518_2563805487033392	2019-10-06T12:32:26+0000	"brasil, episodio de hoje: - planilha implica bolsonaro em caixa 2; - 'ta com sua mae', responde bolsonaro a pergunta sobre queiroz - gal. heleno manda fhc calar a boca apos critica do ex-presidente ao governo - sergio moro tem estrategia permanente de acuar instituicoes, diz maia"	6878	248	1013
904277726319518_2561677157246225	2019-10-05T10:58:29+0000	"minha coluna da semana: \"se a verdade prevalecer e a suprema corte se libertar das amarras que querem lhe impor, poderemos voltar a arena da livre disputa democratica, com lula entre nos!\""	1983	6	244
904277726319518_2553894781357796	2019-10-01T12:29:49+0000	"nesta quarta-feira, participo do programa em foco com andreia sadi. acompanhe na globonews, as 21h30."	3224	10	455
904277726319518_2552857851461489	2019-10-01T01:03:27+0000	"nao ha qualquer duvida sobre a veracidade do que tem sido divulgado sobre a lava jato. todo material foi checado e confirmado e deram legitimidade as denuncias. tanto que teve ate procuradora que pediu desculpas pelo conteudo. e preciso anular imediatamente o processo contra lula.   foto: ricardo stuckert"	5463	4	495
904277726319518_2552705564810051	2019-09-30T23:02:05+0000	"fernando haddad entrevista manuela d'avila."	3516	39	1277
904277726319518_2551994071547867	2019-09-30T14:02:13+0000	"hoje entrevisto minha amiga manuela d'avila.  acompanhe na alltv e nas nossas redes, as 20h."	5892	10	310
904277726319518_2550013698412571	2019-09-29T12:23:30+0000	"preso politico ha 540 dias.  foto: ricardo stuckert"	16015	157	1708
904277726319518_2547911145289493	2019-09-28T10:23:27+0000	"para quem ja viu o filme, na coluna da semana comento bacurau e seu museu.  (spoilers)"	2004	3	193
904277726319518_2546010512146223	2019-09-27T10:53:11+0000	"brasil, episodio de hoje: 1) lava jato usou provas ilegais do exterior para prender futuros delatores. 2) janot diz que cogitou matar gilmar mendes dentro do supremo quando era pgr.  3) lava jato manipulou impeachment de dilma, diz aloysio nunes, do psdb."	8458	850	1484
